                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2674,                 3.0817,                 1.6568,                0.55549,                0.43049,                0.38176,                0.16633,                 2.0507,                 4.3698,                 3.4295,             0.00015828,             0.00015828,             0.00015828
                      2,                 1.2317,                 2.0822,                   1.59,                0.25364,                0.60415,                0.32607,                0.14021,                  2.109,                 3.2607,                 3.3753,             0.00030648,             0.00030648,             0.00030648
                      3,                 1.2142,                 1.8247,                  1.571,                0.32953,                0.55777,                0.39019,                0.16998,                 2.1244,                 2.6698,                 3.7522,             0.00044422,             0.00044422,             0.00044422
                      4,                 1.1909,                 1.6232,                 1.5443,                0.33215,                0.54353,                0.34827,                0.17617,                 1.9595,                 2.5601,                 3.4233,             0.00042888,             0.00042888,             0.00042888
                      5,                 1.1789,                 1.4768,                 1.5187,                0.47216,                0.54099,                0.41293,                   0.21,                 2.1163,                 2.7667,                 3.4781,             0.00042888,             0.00042888,             0.00042888
                      6,                 1.1548,                  1.373,                 1.5034,                0.26082,                0.56556,                 0.3303,                0.15193,                 2.1329,                 2.4751,                  3.821,             0.00041317,             0.00041317,             0.00041317
                      7,                 1.1442,                  1.307,                 1.4922,                0.47058,                0.40156,                0.39575,                0.19703,                  2.141,                 2.6385,                 3.7336,             0.00039746,             0.00039746,             0.00039746
                      8,                 1.1444,                 1.2513,                  1.484,                 0.3141,                0.58794,                0.32601,                0.15623,                 2.1997,                 2.6838,                 3.7198,             0.00038175,             0.00038175,             0.00038175
                      9,                 1.1213,                 1.1934,                 1.4681,                0.34953,                 0.5701,                0.34428,                0.16352,                 2.1241,                 2.3275,                 3.6597,             0.00036604,             0.00036604,             0.00036604
                     10,                 1.1102,                 1.1409,                  1.451,                  0.407,                0.61278,                0.39031,                0.19223,                 2.3102,                 2.5442,                 4.0582,             0.00035034,             0.00035034,             0.00035034
                     11,                 1.1022,                 1.1164,                 1.4513,                0.41226,                0.51359,                0.37404,                0.19375,                 2.0317,                 2.1831,                 3.5949,             0.00033463,             0.00033463,             0.00033463
                     12,                 1.0862,                  1.084,                 1.4364,                0.53434,                0.57973,                0.52688,                0.26129,                 2.0299,                 2.1656,                 3.7365,             0.00031892,             0.00031892,             0.00031892
                     13,                 1.0945,                 1.0541,                 1.4408,                0.31023,                0.52947,                 0.3516,                0.16938,                 2.2255,                 2.5674,                 3.7912,             0.00030321,             0.00030321,             0.00030321
                     14,                 1.0693,                 1.0254,                 1.4244,                 0.4556,                0.65387,                 0.4697,                0.24048,                 2.1527,                 1.9799,                 3.7979,              0.0002875,              0.0002875,              0.0002875
                     15,                 1.0663,                 1.0028,                 1.4232,                0.46821,                0.57038,                0.39574,                0.19986,                 2.1937,                 2.1101,                 3.8052,              0.0002718,              0.0002718,              0.0002718
                     16,                 1.0578,                0.97638,                 1.4144,                0.35594,                0.57169,                0.40344,                0.20083,                 2.3216,                 2.1942,                 4.1197,             0.00025609,             0.00025609,             0.00025609
                     17,                  1.051,                0.96934,                 1.4125,                0.41327,                0.59733,                0.39511,                0.20666,                 2.1089,                 2.1708,                 3.7556,             0.00024038,             0.00024038,             0.00024038
                     18,                 1.0488,                 0.9405,                 1.4026,                0.42179,                0.60479,                0.42565,                0.20759,                 2.1471,                 2.3982,                 3.7817,             0.00022467,             0.00022467,             0.00022467
